Переменная|Англ.|Русс.|Перевод
frontend.views.request.tomatos_two| Azerbaijani tomato|Помидоры Азербайджанские|Tomate  Azerbaidjan
frontend.views.vendor.change_curr_two| Catalogue currency changing|Изменение валюты каталога|Modificarea valutei catalogului
 позиций, обратитесь к нам и мы вам поможем| Please contact us and we will help you.| позиций, обратитесь к нам и мы вам поможем|Vă rugăm să ne contactați și vă vom ajuta.
frontend.views.site.like_always| The same thing that you always do. You can reject the whole order or accept it partially. At that, you can give a rating to the supplier's work and give a feedback. |Все то же, что и всегда. Вы можете отказаться от всего заказа или принять заказ частично. При этом поставить оценку о работе поставщика и оставить отзыв.|Procedura este aceeași. Puteți renunța la comandă, sau, puteți accepta comanda parțial. În acest caz, Vă rugăm să evaluați activitatea furnizorului și să lăsați un feedback.
common.components.sms.empty|"""Сonsignee"" field cannot be blank"|Поле получатель не может быть пустым. |"Câmpul ""Destinatar"" trebuie îndeplinit "
 руб.|&nbsp;RUB| руб.|ruble
frontend.views.client.dashboard.phone|+7 499 404-10-18 ext. 202|+7 499 404-10-18 доб. 202|/+7 499 404-10-18 ext. 202
market.views.site.restaurant.phone|+7 499-404-1018 ext. 202|+7 499-404-1018 доб. 202|/+7 499-404-1018 ext. 202
frontend.views.request.phone|+7-499-404-10-18 ext. 202|+7-499-404-10-18 доб. 202|/+7-499-404-10-18 ext. 202
frontend.views.site.my_catalogs|", go to ""My catalogues"" and create your first catalogue, then go to ""My customers"" and enter contact data of your customers and invite them into the system."|", перейдите в раздел ""мои каталоги"" и создайте свой первый каталог с товарами, далее перейдите в раздел ""мои клиенты"", введите контактные данные своих клиентов и пригласите их в систему."|"Accesează rubrica ""cataloagele mele"" și crează primul catalog cu produse, apoi, accesează ""clienții mei"", introdu datele de contact ale clienților și invită-i în sistem."
